score,type,rob_1_1,rob_1_2,rob_2_1,rob_2_2,rob_2_3,rob_3_1,rob_3_2,rob_3_3,rob_3_4,rob_3_5,rob_3_6,rob_4_1,rob_4_2,rob_4_3,rob_4_4,rob_4_5,rob_4_6,rob_4_7,rob_4_8,rob_4_9,app_1,app_2,app_3
Brooks–Brunn (1997),dv,Probably yes (PY),Probably yes (PY),Probably yes (PY),Probably yes (PY),Yes (Y),Yes (Y),No (N),Yes (Y),Probably yes (PY),Probably no (PN),Probably yes (PY),Yes (Y),Yes (Y),No information (NI),No information (NI),No (N),No information (NI),Yes (Y),No (N),Yes (Y),Low,Low,Low
Brooks–Brunn (1998),d,Probably yes (PY),Probably yes (PY),Probably yes (PY),Probably yes (PY),Yes (Y),Yes (Y),No (N),Yes (Y),Probably yes (PY),Probably no (PN),Probably yes (PY),Yes (Y),Yes (Y),No information (NI),No information (NI),No (N),No information (NI),Yes (Y),No (N),Yes (Y),Low,Low,Low
Arozullah et al. (2000),dv,Probably yes (PY),Probably yes (PY),Yes (Y),Probably yes (PY),Yes (Y),Yes (Y),No (N),Yes (Y),Probably yes (PY),No information (NI),Yes (Y),Yes (Y),Yes (Y),No (N),Yes (Y),Yes (Y),Yes (Y),Yes (Y),Yes (Y),Yes (Y),High,Low,High
Fuso et al. (2000),d,Probably yes (PY),No (N),Probably yes (PY),Probably no (PN),Yes (Y),Yes (Y),No (N),Yes (Y),Probably yes (PY),Probably no (PN),Yes (Y),Yes (Y),Yes (Y),No information (NI),No information (NI),No (N),No information (NI),Yes (Y),Yes (Y),Yes (Y),Low,Low,Low
Arozullah et al. (2001),dv,Probably yes (PY),Probably yes (PY),Yes (Y),Probably yes (PY),Yes (Y),Yes (Y),Yes (Y),Yes (Y),Probably yes (PY),No information (NI),Yes (Y),Yes (Y),Yes (Y),No (N),Yes (Y),Yes (Y),Yes (Y),Yes (Y),Yes (Y),Yes (Y),Low,Low,Low
McAlister et al. (2003),dv,Yes (Y),Yes (Y),Yes (Y),Yes (Y),Yes (Y),Yes (Y),Yes (Y),Yes (Y),Probably yes (PY),Yes (Y),Yes (Y),Probably yes (PY),Yes (Y),No information (NI),No information (NI),Yes (Y),No information (NI),Yes (Y),No information (NI),Yes (Y),Low,Low,High
McAlister et al. (2005),d,Yes (Y),Yes (Y),Yes (Y),Yes (Y),Yes (Y),Yes (Y),Yes (Y),Yes (Y),Yes (Y),Yes (Y),Yes (Y),Yes (Y),Yes (Y),No information (NI),No information (NI),No (N),No information (NI),Yes (Y),No (N),No information (NI),High,Low,Low
Johnson et al. (2007),dv,Probably yes (PY),Yes (Y),Yes (Y),Probably yes (PY),Yes (Y),Yes (Y),No (N),Yes (Y),Yes (Y),Probably no (PN),Yes (Y),Yes (Y),Yes (Y),No (N),No information (NI),No (N),No (N),Yes (Y),No (N),Yes (Y),High,Low,High
Scholes et al. (2009),d,Yes (Y),No (N),Probably yes (PY),Probably yes (PY),Yes (Y),Probably yes (PY),Yes (Y),Yes (Y),Probably yes (PY),Probably no (PN),Yes (Y),Yes (Y),Yes (Y),No (N),No information (NI),No (N),No information (NI),Yes (Y),No (N),Yes (Y),Low,Low,Low
ARISCAT (2010),dv,Yes (Y),Yes (Y),Probably yes (PY),Probably yes (PY),Yes (Y),Probably yes (PY),Yes (Y),Yes (Y),Probably yes (PY),Probably no (PN),Yes (Y),Yes (Y),Yes (Y),No (N),Yes (Y),Probably no (PN),Yes (Y),Yes (Y),Probably no (PN),Yes (Y),Low,Low,Low
ARISCAT (2010),v,Yes (Y),Yes (Y),Probably yes (PY),Probably yes (PY),Yes (Y),Probably yes (PY),Yes (Y),Yes (Y),Probably yes (PY),Probably no (PN),Yes (Y),Yes (Y),Yes (Y),No (N),No information (NI),-,No information (NI),Yes (Y),-,-,Low,Low,Low
ARISCAT (2010),v,Probably yes (PY),Yes (Y),Probably yes (PY),Probably yes (PY),Yes (Y),Probably yes (PY),Yes (Y),Yes (Y),Probably yes (PY),Probably no (PN),Yes (Y),Yes (Y),Yes (Y),No (N),No information (NI),-,No information (NI),Yes (Y),-,-,Low,Low,Low
